Case Name,ID,Permalink,Summary,Case Categories,Jurisdictions,Principal Laws,Status,Reporter Info,Filing Year for Action,Core Object
Raja Zahoor Ahmed v. Capital Development Authority,17536,https://climatecasechart.com/non-us-case/raja-zahoor-ahmed-v-capital-development-authority/,"On October 5, 1995, the Capital Development Authority, which is responsible for planning decisions in Pakistan's capital city of Islamabad, rescinded a previous decision to allow a number of residential properties to be converted to commercial use. It determined that the original decision would have been incompatible with the Master Plan of Islamabad. After rescinding the decision to allow commercial use of the properties, the Board issued notices to a number of property owners regarding their unsanctioned use of residential properties for commercial use. These notices were challenged by the petitioners and on February 16, 2015, the Islamabad High Court dismissed the petitions. The case was subsequently appealed to the Supreme Court.

On May 20, 2022, the Supreme Court of Pakistan issued a judgment in the case confirming the consolidated judgment of the Islamabad High Court. The Court found that the Capital Development Authority had been correct to determine that the original authorization for the conversion of the properties had been unlawful as it was not aligned with the Master Plan of Islamabad, and any deviation from that plan would have required approval by the Federal Government. The Court then went on to provide an explanation of the importance of orderly urban planning in the context of climate change. In particular the Court noted that future changes to existing urban plans would need to take climate change into account: ""It is doubtful that our early town planners were driven by climate considerations. However, climate must, in the wake of climate change, form a basic determinant of urban planning and design. Climate-resilient development in cities of all sizes is crucial for improving the well-being of people and increasing the life opportunities of future generations. Any change in the Master Plan to an urban scheme without taking account of the climate factor would be detrimental.""

The Court went on to note that climate change can impact a number of fundamental constitutional rights, including the fundamental rights to life, dignity and property guaranteed under Articles 9, 14, 18 and 23 of the Constitution of the Islamic Republic of Pakistan, 1973. The Court argued that including adaptation and sustainability considerations in urban planning is essential for the protection of these rights and ordered that Pakistan's urban planning authorities should take this into account in future, stating: ""The CDA shall ensure to factor in adaptation, climate resiliency and sustainability into their plans, policies and decisions in order to protect [...] constitutional rights.""",Suits against governments>GHG emissions reduction and trading>Other,Pakistan>Supreme Court,Pakistan>Constitution,Decided,,1995,How climate change considerations should be taken into account within urban planning decisions.
Humane Being v. the United Kingdom,17539,https://climatecasechart.com/non-us-case/factory-farming-v-uk/,"On July 26, 2022, the NGO Humane Being filed an application to the European Court of Human Rights in the first case challenging factory farming in the UK. The application alleges that the UK Government is in breach of their obligations under Articles 2, 3 and 8 of the Convention for failing to address the risks of the climate crisis, future pandemics and antibiotic resistance created by factory farming. This application poses novel climate arguments focusing on the danger of agricultural methane emissions, and highlighting soy feed consumption in UK factory farming as a key driver of deforestation in the Amazon basin. The application also cites for the first time before the ECHR the ruling of the Brazilian Supreme Court in PSB  et al v Brazil (on Climate Fund), which recognized the Paris Agreement as a human rights treaty. Given the urgency of the case and other pending climate cases before the ECHR, an application has been made for the case to be assessed on a priority basis. 

In January 2023, the case was declared inadmissible pursuant to procedure which does not involve a public decision. The Court found that the applicants were not sufficiently affected by the alleged breach of the Convention or the Protocols thereto to claim to be the victims of a violation within the meaning of Article 34 of the Convention. Accordingly, these complaints are incompatible ratione personae with the provisions of the Convention within the meaning of Article 35 § 3 (a).",Suits against governments>Human Rights>Other|Suits against governments>GHG emissions reduction and trading>Other,European Court of Human Rights,European Convention on Human Rights,Decided,,2022,"Whether factory farming violates human rights due to the risks of the climate crisis, future pandemics and antibiotic resistance. "
Plan B.Earth and Others v United Kingdom,17541,https://climatecasechart.com/non-us-case/plan-bearth-and-others-v-united-kingdom/,"On July 11, 2022, Plan B. Earth, Adetola Onamade, Jerry Amokwandoh, Marina Tricks, and Tim Crosland filed an application at the European Court of Human Rights against the United Kingdom with a request under Rule 41 (priority). The claimants allege that, in breach of its legal obligations arising under the Human Rights Act 1998 and the European Convention on Human Rights, the UK Government is systematically failing to take practical and effective measures to address the threat from man-made climate breakdown. Articles 2, 8 and 14 of the Convention impose on governments the positive obligation to take reasonable and proportionate steps to safeguard the right to life and to family life and to do so without discrimination. That means: (i) aligning emissions reductions to the 1.5˚C Paris objective; (ii) preparing for the impacts of climate change, so far as that is possible (including by providing the public with good information); (iii) aligning public and private finance flows to the 1.5˚C Paris objective; and (iv) making the polluter pay, with effective mechanisms to ensure compensation and reparation for the victims of climate change.

Nevertheless, in March 2022, the UK Court of Appeal refused to hear the Claimant’s case on the basis that the Paris Agreement was irrelevant: “The fundamental difficulty which the Claimants face is that there is no authority from the European Court of Human Rights on which they can rely, citing the Paris Agreement as being relevant to the interpretation of the ECHR, Articles 2 and 8 [the rights to life and to family life]”. It also ruled that the fact that the family life of the three young people bringing the claim is inextricably linked to communities on the frontline of the crisis in the Global South was irrelevant to determining the scope of their right to family life, despite the prohibition against discrimination in safeguarding Convention rights.

In January 2023, the case was been declared inadmissible pursuant to procedure which does not involve a public decision. The Court found that the applicants were not sufficiently affected by the alleged breach of the Convention or the Protocols thereto to claim to be the victims of a violation within the meaning of Article 34 of the Convention. Accordingly, these complaints are incompatible ratione personae with the provisions of the Convention within the meaning of Article 35 § 3 (a).
",Suits against governments>Human Rights>Other,European Court of Human Rights,European Convention on Human Rights,Decided,,2022,Whether the UK has breached obligations under the European Convention on Human Rights by failing to reduce GHG emissions. 
Czech Republic v Poland (Mine de Turów),17634,https://climatecasechart.com/non-us-case/czech-republic-v-poland-mine-de-turow/,"The parties are: 
APPLICANT: Czech Republic
DEFENDANT: Republic of Poland
INTERVENER (in support of the applicant): European Commission

The case concerns the operation of the Turów lignite mine that supplies lignite to the 1984 megawatt Turów power plant, both owned by the Polish Energy Group (PGE). Emitting almost 10 million tons of carbon dioxide each year, the plant has been on the EU’s list of power plants with the highest negative impact on climate for years. The axis of the dispute was the negative impact on groundwater in Czech Republic. In 1994, the mine obtained a concession to extract lignite until 2020. In 2015, it requested an extension of the concession for six years. According to the Polish legislation, the extension was possible without conducting an environmental impact assessment (EIA). In March 2020, the mine received the requested prolongation until 2026. 

On September 30, 2020, the Czech Republic took Poland to the Court of Justice of the European Union (CJEU) (the General Court) under Article 259 of the Treaty on the Functioning of the European Union (TFEU), arguing that Poland’s extension of the concession was unlawful because no EIA had been conducted, as required by EU Directive 2011/92. The applicant claimed that the Republic of Poland’s actions were unlawful by: (i) allowing the extension by 6 years of the development consent for the extraction of lignite without conducting an EIA, (ii) excluding the public from the procedure for granting the consent for extraction, (iii) declaring the EIA decision to be immediately enforceable, (iv) failing to allow the intervention of the public and of the Czech Republic in the procedure, (v) failing to enable judicial review of the mining development consent granted, (vi) failing to publish the mining development consent granted. As such, Poland has failed to fulfil its obligations under Directive 2011/92. 

In February 2021, the Czech Republic asked the CJEU for interim measures, requesting the immediate closure of activities of the lignite mine. The CJEU granted the interim measures by Order of the Vice-President of the Court of 21 May 2021. However, Poland did not comply with that order. On September 20, 2021, the CJEU ordered Poland to pay the European Commission a penalty of EUR 500,000 per day from the date of notification until that Member State complies with the order. On February 3, 2022, the Court of Justice’s Advocate General (AG) Prita Pikamäe stated in his opinion that Poland had violated the EIA Directive. 

On February 4, 2022, the Czech Republic informed the CJEU that as a result of the settlement reached with Poland on the dispute, it waived all claims. Consequently, the court struck the case from the register by an order of the same date. ",Suits against governments>Environmental assessment and permitting>Natural resource extraction,European Union>General Court (known as Court of First Instance before 2010),European Union>Secondary Law>Directives>2011/92/EU,Withdrawn,C-121/21,2020,Whether Poland infringed Directive 2011/92 of the European Parliament and the Council on the environmental impact assessment (EIA) of certain public and private projects by adopting national legislation which allowed the competent authorities to extend the license for lignite mining without carrying out the EIA
Complaint to the European Ombudsman on oil and gas imports from Russia,17659,https://climatecasechart.com/non-us-case/complaint-to-the-european-ombudsman-on-oil-and-gas-imports-from-russia/,"Since the Russian Federation invaded Ukraine, the European Union has continued to import Russian oil and gas. EU imports constituted 61 percent of Russia’s fossil fuel exports (besides oil and gas also coal) in the first one hundred days of the war. Oil and gas exports are an important part of the Russian economy, the revenues of which make up 45% of Russia’s 2021 budget, according to the International Energy Agency. The imports of Russian oil and gas are governed by Regulation 2015/478 of the European Parliament and of the Council of 11 March 2015 on common rules for imports. Article 1 of that Regulation states that such oil and gas shall be freely imported into the Union and shall not be subject to any quantitative restrictions. To decrease dependence on Russian oil and gas, the European Union has adopted REPowerEU, a plan to rapidly reduce dependence on Russian fossil fuels and fast forward the green transition. The plan focuses on saving energy, diversifying energy supplies, accelerating the rollout of renewables, and smart investments. The plan has no specific timeframe to achieve its goals but aims to achieve the reduction ""as soon as possible"" and ""well before 2030,"" 2030 being the target set before the adoption of the plan. 

On May 25, 2022, Global Legal Action Network (GLAN), Avaaz, Notre Affairs à Tous, Deutsche Umwelthilfe, and Svitlana Romanko, co-founder of the Stand With Ukraine campaign, filed a complaint with the European Ombudsman, Emily O’Reilly, alleging that the EU failed to conduct an impact assessment before continuing its imports from Russia after the Russian invasion of Ukraine. The complainants contend that the EU is obliged to assess the impact of its oil and gas imports on both human rights and GHG emissions. The complaint states that the EU oil and gas imports are a critical source for Russia to finance its war efforts, thus contributing to the human rights violations it says are happening in Ukraine. At the same time, the complaint states that the Commission has not adequately assessed the implications for climate change of its current and planned measures to reduce Russian oil and gas imports. The complaint mentions that the Commission’s plan to find alternatives for Russian fossil fuels risks locking in fossil fuel use.

The content of the assessments is described in detail in a letter sent on April 26, 2022, and attached to the complaint. In that letter, the complaining parties ask the Commission to:
-	assess the full range of measures that are both available to the EU – including a full cessation of imports of Russian oil and gas – appropriate to ensure that the EU does not contribute to the ability of Russia to prosecute its war of aggression in Ukraine;
-	examine – and consider other authoritative studies which examine – all available means of rapidly reducing reliance on Russian oil and gas within the EU;
-	assess the implications for the EU’s greenhouse gas emissions of any measures it considers to reduce reliance on Russian oil and gas;
-	assess how a rapid reduction in the EU’s reliance on Russian oil and gas can be achieved in a manner that is most consistent with the imperative of reducing greenhouse gas emissions.

The complaint states that the EU is obliged to respect international law in the exercise of its powers and that conducting an impact assessment is part of that obligation. In not conducting such an assessment, the EU has not acted in accordance with the principles of good administrative behavior. The complaint specifically mentions that the EU has violated art. 6 (proportionality) and 9 (objectivity) of the European Code of Good Administrative Behavior. 

After receiving the complaint, it is up to the Ombudsman’s office to determine whether the complaint warrants an inquiry. If the Ombudsman opens an inquiry, she can find that (1) there is no maladministration, (2) make a proposal to the institution to resolve the matter, or (3) find that there is maladministration and make recommendations to address the maladministration. The Commission then has three months to respond. 
",Suits against governments>Human Rights>Other|Suits against governments>GHG emissions reduction and trading>Other,European Union>European Ombudsman,European Union>European Code of Good Administrative Behavior,Pending,,2022,Whether the European Union has not adequately assessed the human rights and greenhouse emissions implications of its continued Russian oil and gas imports after the Russian invasion of Ukraine and of its current and planned measures to reduce the EU’s energy dependence on Russia.
Wayúu Indigenous community and others v. Ministry of Environment and others,17663,https://climatecasechart.com/non-us-case/wayuu-indigenous-community-and-others-v-ministry-of-environment-and-others/,"On February 22, 2019, the Wayúu Indigenous community of Northern Colombia and other individuals filed a lawsuit seeking the annulment of the environmental license (among other resolutions) that authorized the Cerrejón Zona Norte Coal Mining Project in La Guajira region since 1983. Plaintiffs claim that the environmental licensing process failed to comply with environmental provisions and principles, violating the rights of the Wayúu community and the general population to a healthy environment, human health, and free, prior and informed consent. Among petitioners’ requests is a study of all water bodies that are being affected by the mine operations including the costs in terms of ecosystem preservation and the health of the vulnerable communities. 

Particularly, plaintiffs argue that every natural resource exploitation project should consider the specificities and realities of climate change. Petitioners also claim that environmental licensing processes must analyze Colombia’s obligations to address climate change and Sustainable Development Goals – SDGs before issuing a permit. Among the plaintiffs’ arguments is that the Colombian government failed to consider the impact of coal mining on climate change when studying the environmental permit’s request. Plaintiffs invoked the correlation between coal mining and greenhouse gas (GHG) emissions to ask for the mine’s closure as a way to ensure the transition towards a cleaner energy and Colombia’s compliance with its international commitments.

Finally, along with the main lawsuit, plaintiffs also asked for a precautionary measure that prevents the environmental authorities from issuing modification permits in this particular project. Petitioners argue that any expansion of the existing mining project could worsen the environmental harms and climate change effects.","Suits against governments>Human Rights>Other|Suits against governments>Environmental assessment and permitting|Suits against corporations, individuals>Corporations>Environmental assessment and permitting",Colombia>Council of State>Administrative Tribunals,Colombia>Law 99 of 1993|Colombia>Constitution,Pending,11001-0324-000-2019-00107-00,2019,"Whether the environmental license of Cerrejón Zona Norte Coal Mining Project violates environmental provisions and human rights to FPIC, health and a healthy environment due to its effects on climate change and GHG emissions."
Dennis Murphy Tipakalippa v National Offshore Petroleum Safety and Environmental Management Authority &amp; Anor,17665,https://climatecasechart.com/non-us-case/dennis-murphy-tipakalippa-v-national-offshore-petroleum-safety-and-environmental-management-authority-anor/,"The applicant, Munupi Senior Lawman and Tiwi Traditional Owner Dennis Tipakalippa, is from the Tiwi islands, a biodiversity haven approximately 80 kilometres north of the Australian city of Darwin. The applicant sued the National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA), the Australian Government’s offshore energy regulator, and an oil and gas company, Santos Limited, over the approval of plans to drill the Barossa gas field in waters off Northern Australia. The applicant claimed that NOPSEMA did not have jurisdiction because the requisite consultations with the applicant were carried out. 

Proceedings regarding an application for an interlocutory injunction restraining Santos from commencing or continuing offshore drilling until the expedited final hearing, which was scheduled for six weeks after the proceedings for interlocutory relief, commenced on July 13, 2022. After accepting that the applicant had demonstrated a prima facie case, the injunction was denied on the basis that drilling will not have gotten underway to a significant extent by the time the hearing came about and of earlier representations made by the applicant indicating he was prepared to accept harm occasioned by the drilling of one well over a short period in order to be availed of the opportunity to stop the vast majority of the approved drilling at an expedited hearing.

In a decision issued on September 21, 2022, the Federal Court of Australia found that NOPSEMA was not lawfully satisfied that consultation had occurred. An order was made to set aside the decision approving Santos Limited’s drilling plans. Work has been paused on the project and Santos Limited will be unable to continue the project without the approval.

The matter decision is currently on appeal before the Full Court. The Full Court’s judgment in the Tiwi Barossa Appeal (Santos v Tipakalippa and Anor). On December 2, 2022, the Full Court dismissed the appeal. ","Suits against governments>Environmental assessment and permitting>Natural resource extraction|Suits against corporations, individuals>Corporations>Environmental assessment and permitting",Australia>Federal Court of Australia,Australia>Offshore Petroleum and Greenhouse Gas Storage (Environment) Regulations 2009 (Cth),Decided,VID306/2022,2022,"Whether, in the course of preparing its environment plan for regulatory approval, Santos should have consulted with the applicant and his community; Whether the applicant and his community are considered “relevant persons” for consultation under the relevant regulations"
Australian Conservation Foundation Incorporated v Woodside Energy Ltd &amp; Anor,17666,https://climatecasechart.com/non-us-case/australian-conservation-foundation-incorporated-v-woodside-energy-ltd-anor/,"Scarborough is a proposed new gas project off the north-west coast of Western Australia that would cause an estimated 1.37 billion tonnes of greenhouse pollution over the next 25 years. Although the gas would be extracted off the coast of WA and much of it burned overseas, it would affect the Great Barrier Reef in Queensland by fuelling climate change, which is causing repeated coral bleaching events on the reef. Scarborough has never been approved under Australia’s federal environment protection law - the Environment Protection and Biodiversity Conservation Act 1999 (Cth) (EPBC Act) -  because offshore gas and oil projects are assessed in a streamlined process by the National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA) and exempt from the EPBC Act’s operation. However, that exemption does not apply if an offshore project is likely to have a significant impact on the World or National Heritage values of the Great Barrier Reef. The applicant, the Australian Conservation Foundation (ACF) believes the greenhouse gas emissions that will result from the Scarborough project are likely to have a significant impact on the Great Barrier Reef. Accordingly, the ACF will argue this means the project should not be allowed to proceed unless the project – and its impacts on the reef – are approved under the EPBC Act.","Suits against corporations, individuals>Corporations>Environmental assessment and permitting",Australia>Federal Court of Australia,Australia>Environmental Protection and Biodiversity Conservation Act 1999 (Federal),Pending,,2022,Whether the Scarborough gas project should be subject to approval under Australia’s national environment law. 
ADI 7095 (Complexo Termelétrico Jorge Lacerda),17671,https://climatecasechart.com/non-us-case/adi-7095-complexo-termeletrico-jorge-lacerda/,"On March 10, 2022, the political parties Rede Sustentabilidade (Rede), Partido Socialismo e Liberdade (PSOL) e Partido Socialista Brasileiro (PSB) filed a Direct Action of Unconstitutionality (ADI), with a request for a precautionary measure, against the Brazilian Congress. The case is supported by Instituto Internacional Arayara de Educação e Cultura (Instituto Internacional Arayara) as amicus curiae. The case questions the constitutionality of articles 1 to 7 of Federal Law 14,299/2022, which establishes an economic subsidy to small-scale public service concessionaires and creates the Just Energy Transition Program (TEJ). The applicants claim that the articles extend the contracting of electricity generated by the Jorge Lacerda Thermoelectric Complex (CTJL) with subsidies from consumers for another 15 years from 2025, which includes the purchase of energy from the burning of coal and fossil fuels. Considering that the CTJL is the largest emitter of greenhouse gases (GHG) in the southern region of Brazil, the applicants allege that there is a violation of the Federal Constitution and the Paris Agreement (enacted by Federal Decree 9.073/2017), as well as the National Policy on Climate Change - PNMC (Federal Law 12,187/2009). They emphasize that the use of coal for energy generation is responsible for socio-environmental disasters in the region, exacerbation of climate change and damage to public health, especially in relation to populations that are already subject to socioeconomic disadvantages. They argue that the TEJ makes it possible to extend the operation of the CTJL until at least 2040. Further, the norm has not presented guidelines for the reduction of GHG by the Complex. On the contrary, the TEJ stated that there will be no abatement of carbon dioxide. Finally, the applicants argue that the composition established for the TEJ Council violates the principles of participatory democracy and equality, as there is no equalization of the number of seats allocated to government and civil society organizations and its composition does not reflect the participation of actors related to environmental and labor causes and the sustainable closure of mines. As a precautionary measure, the plaintiffs request that the Law is interpreted according to the Constitution, so that they are considered unconstitutional. Further, that the the subsidy established by the Law is suspended and declared unconstitutional, suspending the effects of articles 4, 5, 6 and 7 of the Law. The plaintiffs request, as a final measure, that the Court (i) gives an interpretation in accordance with the Constitution to articles 1, 2 and 3, considering them unconstitutional and prohibited the granting of the subsidy under the terms of the Law and (ii) that articles 4 to 7 of Federal Law 14,299/2022 be declared unconstitutional.",Suits against governments>Just transition,Brazil>Federal Supreme Court,Brazil>Federal Constitution>art. 5|Brazil>Federal Constitution>art. 1|Brazil>Federal Constitution>art. 225|Brazil>PNMC (Federal Law 12 187/2009),Pending,Ação de Descumprimento de Inconstitucionalidade No. 7095,2022,"Whether the Just Energy Transition Program, which provides subsidies to a coal generating complex, is unconstitutional. 

"
Challenging criteria and technical requirements to perform fracking in Colombia,17686,https://climatecasechart.com/non-us-case/2challenging-criteria-and-technical-requirements-to-perform-fracking-in-colombia/,"On August 23, 2016, a Colombian citizen filed a lawsuit to challenge the validity of Decree 3004 of 2013 and Resolution No. 90341 of 2014 issued by the national government and the Ministry of Mines and Energy. These norms establish the criteria and requirements to perform fracking in Colombia. The petitioner argued that the challenged norms allowed fracking in Colombia, despite the significant number of scientific studies that substantiate fracking’s adverse and irreversible effects on human health and environmental stability. 

On July 7, 2022, the Council of State decided against the plaintiffs’ claims. The court found that there was no violation of the Constitution or Law 99 of 1993 and declared the challenged norms valid. The court considered that fracking was already authorized by other existing and valid norms and that the challenged acts were merely contributing to its regulation. The court reasoned that all fracking-related norms should be interpreted holistically and comprehensively, preventing the court from declaring, as argued by the plaintiff, that the challenge acts were insufficient or inadequate. The court decided that the challenged acts complemented the criteria and requirement to perform fracking. The court restricted the legal analysis to the possible contradiction of superior norms that could undermine the validity of the acts. However, the court concluded that this contradiction was not proved during trial.

The court explicitly invoked the United Nations Framework Convention on Climate Change, among other norms, and stated that the precautionary principle is crucial for the protection of the climate system in benefit of future and present generations. Moreover, the decision mentions that according to the expert witnesses and reports, fracking, and fossil fuel exploitation in general prevent Colombia from reducing greenhouse gas (GHG) emissions and contributing to the fight against climate change. Nevertheless, the court considered the challenged acts did not violate this principle. According to the court, the precautionary principle does not mean “zero risk scenarios”, rather controlled scenarios to reach environmental and economic development goals. In the court’s opinion, the challenged acts are part of a broader set of norms that regulate fracking in Colombia in a way that does not contradict any superior norm. ",Suits against governments>Environmental assessment and permitting>Natural resource extraction|Suits against governments>Human Rights>Right to a healthy environment,Colombia>Council of State>Administrative Courts,Colombia>Law 164 of 1994|Colombia>Law 99 of 1993|Colombia>Constitution,Decided,11001-0326-000-2016-00140-00 (57819),2016,Whether the challenged norms contradict superior norms and cause an irreparable threat or harm to the environment by authorizing fracking in Colombia without sufficient regulation.
Smith v. Attorney-General,17694,https://climatecasechart.com/non-us-case/smith-v-attorney-general/,"In March 2022, the plaintiff, a Māori landowner and tribal climate spokesperson, argued that the successive New Zealand governments had failed to adequately address the effects of climate change on New Zealand and its citizens, especially Māori. Specifically, the plaintiff argued that the government had failed to incorporate international obligations into domestic law, and to reduce the carbon emissions produced by government activities. Furthermore, although the government had introduced an emissions trading scheme, the plaintiff argued that the overall emissions cap was set too high and contained unjustifiable exemptions. 

The plaintiff advanced three causes of action. First, plaintiff argued that the government owed (and had breached) a common law duty of care owed to New Zealanders, to “take all necessary steps to reduce NZ emissions and to actively protect the plaintiff and his descendants from the adverse effects of climate change”. Secondly, plaintiff alleged that the New Zealand government had breached the rights guaranteed under sections 8 and 20 of the New Zealand Bill of Rights Act 1990 (NZBORA), namely the rights to life and the rights of minorities. Finally, the plaintiff alleged that the New Zealand government had failed to act in accordance with its obligations under te Tiriti o Waitangi | the Treaty of Waitangi (Te Tiriti), New Zealand’s founding document. The defendant applied for the claims to be struck out.

In July 2022, the Court struck out all three claims as untenable. First, it found that the common law duty of care lacked reference to any recognized legal obligations, and went beyond mere incremental development of new obligations. Furthermore, it was beyond the democratic role and institutional competence of a Court to “monitor” the full scope of the government’s climate change response. Next, the Court found that the right to life claim was untenable because the plaintiff had not pointed to a “real and identifiable” risk to a specified individual. Furthermore, the minority rights claim had failed to particularize specific breaches, NZBORA s 20 does not impose positive duties on the State, and that the Crown had taken adequate steps to consider the interests of Māori. Finally, the Court found that Te Tiriti does not give rise to free-standing obligations, and that plaintiff’s claim was too wide-ranging to give rise to fiduciary Te Tiriti obligations because such obligations would untenably be owed to the public in general. Even if such duties were to be developed, they would need to rely on the common law duty advanced in the first cause of action, which the Court deemed untenable in any event.",Suits against governments>GHG emissions reduction and trading>Other|Suits against governments>Human Rights>Indigenous Groups,New Zealand>High Court of New Zealand,New Zealand>Bill of Rights Act 1990|New Zealand>Common law|New Zealand>Treaty of Waitangi,Decided,[2022] NZHC 1693,2022,"Whether New Zealand’s climate law framework violated common law duties, statutory rights, or te Tiriti o Waitangi | the Treaty of Waitangi."
ClientEarth and others v. Flemish Region,17697,https://climatecasechart.com/non-us-case/clientearth-v-flemish-region/,"In 2021, Flemish authorities announced their approval of petrochemicals giant INEOS’ plastics plant project ('Project One') in the Port of Antwerp, Belgium. 

ClientEarth and 13 other NGOs argue that this project would have tremendous and inadequately assessed environmental impacts, namely in the form of plastic pollution and climate change exacerbation. As a consequence of these concerns, these NGOs submitted an appeal against the permit to the Flemish Ministry of the Environment in early 2022. They argued, in particular, that the permit’s Environmental Impact Assessment (EIA) failed to meet the legal requirements and should not be granted. 

This appeal was dismissed in June 2022. A month later, the NGOs announced that they would bring the Flemish authorities to court to challenge this decision to dismiss their appeal. They argue that ""INEOS has so far failed to present an adequate assessment of how the project would impact the climate, nature and surrounding air quality – all of which are likely to suffer significantly if the project goes ahead,"" and that ""the Flemish authorities approved the project without first fully assessing its impacts – making the approval illegal according to EU and national laws."" 

In July 2023, the Council of Permit Disputes (""Raad Voor Vergunningsbetwistingen"") ruled in a parallel case brought by Dutch authorities in Belgium that INEOS failed to tell Flemish authorities the full extent of its project's predicted impact on the environment, so much so that these authorities should not have granted the project's approval. Accordingly, the project has been suspended, and ClientEarth and others' case is concluded since the underlying permit is now void.","Suits against governments>Trade and Investment>Environmental permitting|Suits against corporations, individuals>Corporations>Environmental assessment and permitting",Belgium>Flanders>Environmental Ministry of Flanders,Belgium,Decided,,2022,Whether the approval by the Flemish authorities of INEOS' Project One is illegal under EU and Belgium laws due to INEOS' inadequate assessment of how the project would impact the climate. 
"Fliegenschnee et al. v. Federal Ministry for Digitalisation and Business Location, Austria",17775,https://climatecasechart.com/non-us-case/fliegenschnee-et-al-v-federal-ministry-for-digitalisation-and-business-location-austria/,"On August 12, 2021, three natural persons, an Austrian municipality, and the NGO Global 2000 applied to the Minister for Digitalization and Business Location. They demanded issuing an ordinance that establishes a gradual ban on the sale of fossil fuels in Austria. The sale of solid fossil fuels should be banned from 1 January 2025, the sale of fossil heating oil from 1 January 2030, the sale of fossil fuels from 1 January 2035, and the sale of fossil fuels for aviation from 1 January 2040. In support of their claim, the applicants argued that they were directly affected by the climate crisis, which mainly results from burning fossil fuels - a practice that needs to be halted to protect life, health, and the environment. 
One of the applicants asserted that climate change-induced heat waves posed a significant health risk due to pre-existing conditions; another applicant brought forward that she would severely suffer from the impacts of climate change due to her young age. The applicant municipality, in turn, stated that due to its location in the Alpine region, it was exposed to a significant risk of landslides during heavy rainfall events, which endangered the lives and health of its citizens. The fourth applicant, a farmer, argued that climate change-induced drought and resulting crop failures endangered her livelihood and caused ecological harm. 

The applicants relied on EU Secondary Law, fundamental rights, and the Austrian Trade Regulation Act to support their claim:
The Minister should rely on Art 69 of the Austrian Trade Regulations Act to issue the demanded sales ban. The latter provision authorizes the Minister to determine measures tradespeople shall take regarding the goods they produce or sell to avoid risks to health and life or environmental pollution. According to the applicants, the Minister could, for example, prohibit operators of petrol stations from selling fossil fuels by relying on Art 69 Trade Regulations Act. 
The applicants further argued that their right to request the above-mentioned sales ban grounds in EU Secondary Law and fundamental rights. The EU’s Effort Sharing Regulation (2018/842) sets binding GHG reduction targets for its Member States - according to the applicants, it aims at protecting the life and health of European citizens and thus confers subjective rights to them. European citizens may thus demand “their” member state to comply with EU reduction targets and adopt respective measures. The applicants supported their claim by relying on earlier case law regarding air pollution control in which the European Court of Justice recognized a subjective right to require issuing an ordinance in case of exceedance of limit values. (See Janacek v. Bayern, ECLI:EU:C:2008:447, ClientEarth v. The Secretary of State for the Environment, Food and Rural Affairs, ECLI:EU:C:2013:805). 
In addition, the applicants derived their right to demand the issuance of an ordinance from fundamental rights, in particular Art 2 and 8 of the European Convention on Human Rights, which oblige the state to take measures against climate change. 

In the first instance, the Federal Minister dismissed the application for lack of competence. In her decision, the Minister argued that the requested measure, namely a transition from fossil to clean energy, was not covered by its constitutional competences, and that she was thus not authorized to issue the requested ordinance. According to the Minister, Art 69 of the Austrian Trade Regulation Act only concerns the prevention of threats specific to the trade and industry sector. It cannot be invoked for higher-level objectives such as the transition to green energy. 

In the second instance, the administrative court of Vienna addressed whether the plaintiffs could demand the enactment of an ordinance on the phasing out of fossil fuels. The court held that the Effort Sharing Regulation is directed at EU Member States and that subjective rights could principally arise from the regulatory content of the regulation. However, the regulation’s wording does not show the European legislator’s intent to grant EU citizens subjective rights. Therefore, the applicants are not entitled to demand compliance with the Effort Sharing Regulation or the enactment of the proposed ordinance. 
Regarding fundamental rights, the court held that legislative and administrative inaction could not be challenged and that it was not competent to order an administrative authority to issue an ordinance. Furthermore, positive obligations arising from fundamental rights only apply to localized natural disasters and hazards. The applicants could not demand the enactment of an ordinance for phasing out fossil fuels based on fundamental rights. 

In the last instance, the Constitutional Court dismissed the complaint. The court did not find a violation of the applicants’ right to their lawful judge as a decision on the merits was rightfully denied by lower instances: The administrative court of Vienna had rightly concluded that a subjective right to demand the issuing of ordinances could not be derived from the EU Effort Sharing Regulation. Further, fundamental rights do not require granting a right to demand the issuing of ordinance based on Art 69 Trade Regulations Act. Fundamental rights, particularly Art 2 and 8 of the European Convention of Human Rights, give rise to positive obligations in case of severe environmental threats. The state enjoys a wide margin of discretion in fulfilling its positive obligations; a violation only occurs if suitable measures are missing entirely or if the measures adopted are not suitable to achieve the objective pursued. 
Fundamental rights do not entail the applicants’ right to demand the issuing of an ordinance. Hence, their claim was dismissed. ",Suits against governments>GHG emissions reduction and trading>EU ETS|Suits against governments>Human Rights>Right to a healthy environment,Austria>Vienna>Administrative Court of Vienna,European Union>Effort Sharing Regulation 2018/842|Austria>Trade Regulation Act 1994|European Union>Primary Law>Charter of Fundamental Rights of the EU|Austria>Constitution,Decided ,,2021,"Whether individuals can demand the phasing out of fossil fuels based on Austrian laws and EU Effort Sharing Regulation Act.
"
